"CellType","MuSiC","NNLS","BisqueRNA","dtangle"
"Endothelial",31.3502948360686,0.903911846979609,11.8027031466591,0.903911846979609
"CAFs",40.0688905298306,61.8891585245177,10.0179598925144,61.8891585245177
"PVL",0.644358979217837,0,10.7324156207802,0
"B-cells",0.0536081324633383,0,10.1342746944066,0
"T-cells",0.00887382457107993,0,13.3396773655853,0
"Myeloid",3.99487746278462,6.16138432763869,13.6042251984557,6.16138432763869
"Normal Epithelial",2.12334825092644,24.8723971377168,7.23412219751513,24.8723971377168
"Plasmablasts",0.666284256412532,2.20464341036553,9.1602347281932,2.20464341036553
"Cancer Epithelial",21.089463727725,3.96850475278175,13.9743871558905,3.96850475278175
